Results of detector B
particle nr, timestamp, detected, detector angle, spin
412, 1372532967666, true, 22.5, 1
413, 1372532967666, true, 315.0, -1
414, 1372532967666, true, 225.0, 1
415, 1372532967666, true, 337.5, 1
416, 1372532967666, true, 180.0, -1
417, 1372532967666, true, 22.5, 1
418, 1372532967666, true, 270.0, 1
419, 1372532967666, true, 292.5, -1
420, 1372532967666, true, 112.5, -1
421, 1372532967666, true, 157.5, -1
422, 1372532967666, true, 157.5, 1
423, 1372532967666, true, 225.0, -1
424, 1372532967666, true, 112.5, 1
425, 1372532967666, true, 225.0, -1
426, 1372532967666, true, 202.5, -1
427, 1372532967666, true, 157.5, -1
428, 1372532967666, true, 225.0, -1
429, 1372532967666, true, 112.5, 1
430, 1372532967666, true, 135.0, -1
431, 1372532967666, true, 112.5, -1
432, 1372532967666, true, 270.0, 1
433, 1372532967666, true, 0.0, 1
434, 1372532967666, true, 0.0, 1
435, 1372532967666, true, 292.5, 1
436, 1372532967666, true, 22.5, 1
437, 1372532967666, true, 67.5, 1
438, 1372532967666, true, 22.5, 1
439, 1372532967666, true, 202.5, -1
440, 1372532967666, true, 22.5, 1
441, 1372532967666, true, 225.0, -1
442, 1372532967666, true, 315.0, 1
443, 1372532967666, true, 90.0, -1
444, 1372532967666, true, 157.5, -1
445, 1372532967666, true, 180.0, -1
446, 1372532967666, true, 337.5, 1
447, 1372532967666, true, 157.5, -1
448, 1372532967666, true, 315.0, 1
449, 1372532967666, true, 315.0, 1
450, 1372532967666, true, 202.5, -1
451, 1372532967666, true, 157.5, -1
452, 1372532967666, true, 135.0, -1
453, 1372532967666, true, 292.5, 1
454, 1372532967666, true, 0.0, 1
455, 1372532967666, true, 112.5, 1
456, 1372532967666, true, 202.5, -1
457, 1372532967666, true, 180.0, -1
458, 1372532967666, true, 112.5, -1
459, 1372532967666, true, 315.0, 1
460, 1372532967666, true, 202.5, 1
461, 1372532967666, true, 67.5, 1
462, 1372532967666, true, 225.0, 1
463, 1372532967666, true, 67.5, 1
464, 1372532967666, true, 315.0, 1
465, 1372532967666, true, 270.0, -1
466, 1372532967666, true, 157.5, -1
467, 1372532967666, true, 247.5, 1
468, 1372532967666, true, 337.5, 1
469, 1372532967666, true, 157.5, -1
470, 1372532967666, true, 337.5, 1
471, 1372532967666, true, 67.5, -1
472, 1372532967666, true, 67.5, 1
473, 1372532967666, true, 90.0, 1
474, 1372532967666, true, 247.5, 1
475, 1372532967666, true, 90.0, -1
476, 1372532967666, true, 247.5, 1
477, 1372532967666, true, 0.0, 1
478, 1372532967666, true, 270.0, 1
479, 1372532967666, true, 247.5, -1
480, 1372532967666, true, 157.5, -1
481, 1372532967666, true, 135.0, -1
482, 1372532967666, true, 112.5, -1
483, 1372532967666, true, 135.0, -1
484, 1372532967666, true, 292.5, -1
485, 1372532967666, true, 90.0, -1
486, 1372532967666, true, 180.0, -1
487, 1372532967666, true, 292.5, 1
488, 1372532967666, true, 45.0, 1
489, 1372532967666, true, 90.0, 1
490, 1372532967666, true, 337.5, 1
491, 1372532967666, true, 0.0, 1
492, 1372532967666, true, 247.5, -1
493, 1372532967666, true, 67.5, -1
494, 1372532967666, true, 22.5, 1
495, 1372532967666, true, 337.5, 1
496, 1372532967666, true, 112.5, -1
497, 1372532967666, true, 45.0, 1
498, 1372532967666, true, 270.0, 1
499, 1372532967666, true, 112.5, -1
500, 1372532967666, true, 157.5, -1
501, 1372532967666, true, 112.5, 1
502, 1372532967666, true, 292.5, 1
503, 1372532967666, true, 180.0, -1
504, 1372532967666, true, 135.0, 1
505, 1372532967666, true, 112.5, -1
506, 1372532967666, true, 67.5, 1
507, 1372532967666, true, 45.0, -1
508, 1372532967666, true, 157.5, -1
509, 1372532967666, true, 45.0, 1
510, 1372532967666, true, 90.0, 1
511, 1372532967666, true, 0.0, 1
512, 1372532967666, true, 180.0, -1
513, 1372532967666, true, 0.0, 1
514, 1372532967666, true, 157.5, -1
515, 1372532967666, true, 292.5, -1
516, 1372532967666, true, 157.5, -1
517, 1372532967666, true, 337.5, 1
518, 1372532967666, true, 45.0, 1
519, 1372532967666, true, 157.5, -1
520, 1372532967666, true, 247.5, -1
521, 1372532967666, true, 247.5, -1
522, 1372532967666, true, 225.0, -1
523, 1372532967666, true, 315.0, 1
524, 1372532967666, true, 315.0, 1
525, 1372532967666, true, 157.5, 1
526, 1372532967666, true, 67.5, -1
527, 1372532967666, true, 22.5, 1
528, 1372532967666, true, 0.0, 1
529, 1372532967666, true, 67.5, 1
530, 1372532967666, true, 292.5, -1
531, 1372532967666, true, 225.0, 1
532, 1372532967666, true, 247.5, -1
533, 1372532967666, true, 202.5, -1
534, 1372532967666, true, 225.0, -1
535, 1372532967666, true, 337.5, 1
536, 1372532967666, true, 337.5, 1
537, 1372532967666, true, 180.0, -1
538, 1372532967666, true, 337.5, 1
539, 1372532967666, true, 202.5, -1
540, 1372532967666, true, 90.0, -1
541, 1372532967666, true, 337.5, 1
542, 1372532967666, true, 247.5, 1
543, 1372532967666, true, 135.0, -1
544, 1372532967666, true, 90.0, -1
545, 1372532967666, true, 67.5, -1
546, 1372532967666, true, 292.5, -1
547, 1372532967666, true, 270.0, 1
548, 1372532967666, true, 180.0, -1
549, 1372532967666, true, 22.5, 1
550, 1372532967666, true, 247.5, 1
551, 1372532967666, true, 180.0, -1
552, 1372532967666, true, 67.5, 1
553, 1372532967666, true, 112.5, -1
554, 1372532967666, true, 45.0, 1
555, 1372532967666, true, 337.5, 1
556, 1372532967666, true, 112.5, 1
557, 1372532967666, true, 135.0, 1
558, 1372532967666, true, 45.0, 1
559, 1372532967666, true, 270.0, 1
560, 1372532967666, true, 157.5, -1
561, 1372532967666, true, 225.0, 1
562, 1372532967666, true, 22.5, 1
563, 1372532967666, true, 270.0, -1
564, 1372532967666, true, 112.5, -1
565, 1372532967666, true, 247.5, -1
566, 1372532967666, true, 270.0, 1
567, 1372532967666, true, 67.5, -1
568, 1372532967666, true, 225.0, -1
569, 1372532967666, true, 247.5, -1
570, 1372532967666, true, 45.0, 1
571, 1372532967666, true, 225.0, -1
572, 1372532967666, true, 292.5, 1
573, 1372532967666, true, 157.5, -1
574, 1372532967666, true, 90.0, -1
575, 1372532967666, true, 22.5, 1
576, 1372532967666, true, 0.0, 1
577, 1372532967666, true, 112.5, -1
578, 1372532967666, true, 225.0, -1
579, 1372532967666, true, 292.5, -1
580, 1372532967666, true, 90.0, 1
581, 1372532967666, true, 112.5, 1
582, 1372532967666, true, 135.0, -1
583, 1372532967666, true, 45.0, 1
584, 1372532967666, true, 157.5, 1
585, 1372532967666, true, 157.5, -1
586, 1372532967666, true, 315.0, 1
587, 1372532967666, true, 225.0, 1
588, 1372532967666, true, 157.5, -1
589, 1372532967666, true, 225.0, 1
590, 1372532967666, true, 90.0, -1
591, 1372532967666, true, 22.5, 1
592, 1372532967666, true, 22.5, 1
593, 1372532967666, true, 270.0, -1
594, 1372532967666, true, 270.0, 1
595, 1372532967666, true, 270.0, -1
596, 1372532967666, true, 45.0, 1
597, 1372532967666, true, 247.5, 1
598, 1372532967666, true, 135.0, -1
599, 1372532967666, true, 247.5, -1
600, 1372532967666, true, 315.0, 1
601, 1372532967666, true, 135.0, -1
602, 1372532967666, true, 202.5, -1
603, 1372532967666, true, 315.0, -1
604, 1372532967666, true, 112.5, -1
605, 1372532967666, true, 337.5, 1
606, 1372532967666, true, 90.0, 1
607, 1372532967666, true, 202.5, 1
608, 1372532967666, true, 45.0, 1
609, 1372532967666, true, 225.0, -1
610, 1372532967666, true, 22.5, 1
611, 1372532967666, true, 22.5, 1
612, 1372532967666, true, 112.5, -1
613, 1372532967666, true, 112.5, -1
614, 1372532967666, true, 270.0, -1
615, 1372532967666, true, 22.5, 1
616, 1372532967666, true, 292.5, 1
617, 1372532967666, true, 45.0, -1
618, 1372532967666, true, 202.5, -1
619, 1372532967666, true, 247.5, -1
620, 1372532967666, true, 157.5, -1
621, 1372532967666, true, 292.5, -1
622, 1372532967666, true, 202.5, -1
623, 1372532967666, true, 67.5, -1
624, 1372532967666, true, 157.5, 1
625, 1372532967666, true, 225.0, 1
626, 1372532967666, true, 180.0, -1
627, 1372532967666, true, 292.5, 1
628, 1372532967666, true, 112.5, 1
629, 1372532967666, true, 157.5, -1
630, 1372532967666, true, 270.0, -1
631, 1372532967666, true, 45.0, 1
632, 1372532967666, true, 247.5, -1
633, 1372532967666, true, 292.5, -1
634, 1372532967666, true, 0.0, 1
635, 1372532967666, true, 337.5, 1
636, 1372532967666, true, 67.5, -1
637, 1372532967666, true, 337.5, 1
638, 1372532967666, true, 337.5, 1
639, 1372532967666, true, 135.0, 1
640, 1372532967666, true, 180.0, -1
641, 1372532967666, true, 67.5, 1
642, 1372532967666, true, 180.0, -1
643, 1372532967666, true, 270.0, 1
644, 1372532967666, true, 90.0, -1
645, 1372532967666, true, 270.0, -1
646, 1372532967666, true, 0.0, 1
647, 1372532967666, true, 180.0, -1
